sitecode,year,imgtype,nrows,ncols,xmn,xmx,ymn,ymx,nl,proj4string
BBS,1990,masks,5847,5131,331500,485430,9328110,9503520,2,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BBS,1990,predictors,5847,5131,331500,485430,9328110,9503520,13,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BBS,1995,masks,5847,5131,331500,485430,9328110,9503520,2,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BBS,1995,predictors,5847,5131,331500,485430,9328110,9503520,13,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BBS,2000,masks,5847,5131,331500,485430,9328110,9503520,2,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BBS,2000,predictors,5847,5131,331500,485430,9328110,9503520,13,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BBS,2005,masks,5847,5131,331500,485430,9328110,9503520,2,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BBS,2005,predictors,5847,5131,331500,485430,9328110,9503520,13,"+proj=utm +zone=48 +south +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BCI,1990,masks,3010,3457,602070,705780,973350,1063650,2,"+proj=utm +zone=17 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BCI,1990,predictors,3010,3457,602070,705780,973350,1063650,13,"+proj=utm +zone=17 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BCI,1995,masks,3010,3457,602070,705780,973350,1063650,2,"+proj=utm +zone=17 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BCI,1995,predictors,3010,3457,602070,705780,973350,1063650,13,"+proj=utm +zone=17 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BCI,2000,masks,3010,3457,602070,705780,973350,1063650,2,"+proj=utm +zone=17 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
BCI,2000,predictors,3010,3457,602070,705780,973350,1063650,13,"+proj=utm +zone=17 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
